Operation|Order.CONN|Order.Validation|PriceService.Out|Order.Execution_|Order.ExecutionReport_CONN
1201271057108|09:42:57,046|09:42:57,690|09:42:58,118|09:42:58,972|09:43:06,279
1201271057119|09:42:57,145|09:42:57,650|09:42:57,788|09:42:58,207|09:43:03,332
1201271057130|09:42:57,449|09:42:57,784|09:42:57,911|09:42:58,344|09:43:02,636
1201271057151|09:42:58,498|09:43:00,228|09:43:00,567|09:43:01,118|
1201271057182|09:42:59,220|09:43:00,217|09:43:00,247|09:43:01,169|09:43:08,008
1201271057193|09:42:59,716|09:43:00,545|09:43:00,594|09:43:02,364|09:43:06,348
1201271057224|09:43:00,302|09:43:00,767|09:43:01,021|09:43:02,407|
1201271057235|09:43:00,975|09:43:01,561|09:43:02,339|09:43:03,134|09:43:08,508
1201271057266|09:43:01,237|09:43:04,311|09:43:04,644|09:43:05,222|
1201271057297|09:43:02,560|09:43:04,304|09:43:04,324|09:43:04,685|09:43:10,568
1201271057318|09:43:03,642|09:43:04,605|09:43:04,651|09:43:05,316|
1201271057349|09:43:04,603|09:43:04,981|09:43:05,068|09:43:05,725|
1201271057360|09:43:05,130|09:43:06,121|09:43:06,439|09:43:07,414|
1201271057381|09:43:05,713|09:43:06,398|09:43:06,486|09:43:07,363|09:43:11,919
1201271057402|09:43:06,160|09:43:06,863|09:43:07,379|09:43:07,830|09:43:12,812
1201271057413|09:43:06,815|09:43:07,517|09:43:07,601|09:43:07,949|09:43:11,334
1201271057434|09:43:07,333|09:43:07,902|09:43:07,941|09:43:08,334|
1201271057455|09:43:07,645|09:43:07,955|09:43:08,086|09:43:08,524|09:43:13,852
1201271057476|09:43:08,091|09:43:08,604|09:43:08,872|09:43:09,373|09:43:16,926
1201271057497|09:43:08,354|09:43:08,835|09:43:08,913|09:43:09,466|09:43:15,487
1201271057508|09:43:08,971|09:43:09,141|09:43:09,243|09:43:09,557|
1201271057519|09:43:09,240|09:43:09,560|09:43:10,041|09:43:10,423|09:43:16,037
1201271057530|09:43:09,293|09:43:10,394|09:43:10,425|09:43:10,861|09:43:17,377
1201271057551|09:43:09,435|09:43:10,837|09:43:11,077|09:43:11,498|
1201271057572|09:43:09,817|09:43:10,512|09:43:10,646|09:43:10,909|
1201271057583|09:43:11,264|09:43:12,068|09:43:12,099|09:43:12,573|
1201271057604|09:43:11,951|09:43:12,150|09:43:12,191|09:43:12,698|
1201271057625|09:43:12,170|09:43:12,392|09:43:12,694|09:43:13,068|
1201271057646|09:43:12,302|09:43:12,616|09:43:12,910|09:43:13,162|
1201271057667|09:43:12,459|09:43:13,426|09:43:13,488|09:43:14,329|
1201271057678|09:43:12,788|09:43:14,074|09:43:14,156|09:43:15,036|
1201271057699|09:43:14,071|09:43:15,336|09:43:15,406|09:43:15,634|
1201271057710|09:43:14,628|09:43:15,637|09:43:15,738|09:43:16,496|
1201271057731|09:43:15,715|09:43:16,046|09:43:16,094|09:43:17,127|09:43:24,453
1201271057752|09:43:16,015|09:43:16,172|09:43:16,301|09:43:17,163|09:43:20,267
1201271057763|09:43:16,219|09:43:16,488|09:43:16,738|09:43:17,249|09:43:20,484
1201271057794|09:43:16,465|09:43:17,246|09:43:17,496|09:43:18,009|
1201271057825|09:43:17,152|09:43:17,504|09:43:17,752|09:43:18,732|09:43:26,525
1201271057836|09:43:17,580|09:43:18,054|09:43:18,693|09:43:19,650|09:43:23,673
1201271057857|09:43:17,919|09:43:18,690|09:43:19,332|09:43:20,132|
1201271057878|09:43:20,034|09:43:20,688|09:43:20,732|09:43:21,679|09:43:26,622
1201271057909|09:43:20,536|09:43:21,011|09:43:21,117|09:43:21,765|
1201271057920|09:43:21,070|09:43:21,877|09:43:22,081|09:43:22,419|09:43:26,738
1201271057931|09:43:22,006|09:43:22,342|09:43:22,430|09:43:22,829|
1201271057982|09:43:22,219|09:43:22,924|09:43:23,233|09:43:24,172|
1201271057993|09:43:22,622|09:43:22,931|09:43:23,213|09:43:24,160|
1201271058014|09:43:22,979|09:43:23,705|09:43:24,168|09:43:24,516|09:43:28,473
1201271058035|09:43:23,266|09:43:24,165|09:43:24,558|09:43:25,054|09:43:30,312
1201271058056|09:43:24,113|09:43:24,814|09:43:24,893|09:43:25,315|09:43:28,421
1201271058077|09:43:24,649|09:43:25,394|09:43:25,570|09:43:25,946|
1201271058098|09:43:25,079|09:43:25,534|09:43:25,593|09:43:26,313|09:43:31,352
1201271058119|09:43:25,534|09:43:25,831|09:43:26,261|09:43:26,631|09:43:31,942
1201271058120|09:43:25,751|09:43:26,462|09:43:26,883|09:43:27,356|09:43:31,165
1201271058151|09:43:26,344|09:43:26,980|09:43:27,089|09:43:27,507|
1201271058172|09:43:26,988|09:43:27,317|09:43:27,395|09:43:27,809|09:43:33,688
1201271058193|09:43:27,164|09:43:27,766|09:43:28,158|09:43:28,745|09:43:34,350
1201271058214|09:43:27,343|09:43:28,057|09:43:28,240|09:43:28,733|
1201271058225|09:43:28,045|09:43:28,696|09:43:28,917|09:43:29,257|
1201271058246|09:43:28,518|09:43:29,169|09:43:29,510|09:43:30,005|
1201271058267|09:43:28,980|09:43:29,830|09:43:30,048|09:43:30,271|
1201271058288|09:43:29,537|09:43:30,279|09:43:30,312|09:43:30,916|
1201271058309|09:43:29,870|09:43:30,564|09:43:30,611|09:43:31,054|
1201271058320|09:43:30,467|09:43:31,051|09:43:31,210|09:43:31,905|
1201271058351|09:43:30,993|09:43:31,353|09:43:31,465|09:43:32,164|
1201271058362|09:43:31,482|09:43:32,494|09:43:32,519|09:43:34,436|
1201271058393|09:43:32,413|09:43:32,742|09:43:33,028|09:43:34,278|
1201271058414|09:43:32,560|09:43:33,169|09:43:33,206|09:43:34,468|09:43:43,314
1201271058425|09:43:33,075|09:43:33,460|09:43:34,133|09:43:34,583|09:43:39,602
1201271058456|09:43:33,229|09:43:34,421|09:43:34,616|09:43:35,387|09:43:40,796
1201271058477|09:43:34,357|09:43:34,846|09:43:34,912|09:43:37,003|
1201271058498|09:43:34,755|09:43:35,081|09:43:35,474|09:43:37,102|09:43:44,404
1201271058529|09:43:35,076|09:43:37,470|09:43:37,828|09:43:39,104|09:43:43,146
1201271058530|09:43:37,044|09:43:38,059|09:43:38,754|09:43:39,888|
1201271058551|09:43:37,548|09:43:37,916|09:43:38,193|09:43:39,884|09:43:44,971
1201271058572|09:43:37,954|09:43:39,382|09:43:39,841|09:43:40,188|
1201271058593|09:43:38,594|09:43:40,251|09:43:40,326|09:43:40,848|09:43:45,762
1201271058614|09:43:40,050|09:43:40,918|09:43:41,019|09:43:41,551|
1201271058625|09:43:40,693|09:43:41,168|09:43:41,370|09:43:41,832|
1201271058646|09:43:41,120|09:43:41,604|09:43:41,939|09:43:42,757|
1201271058677|09:43:42,481|09:43:43,437|09:43:43,475|09:43:43,954|09:43:48,875
1201271058698|09:43:43,218|09:43:43,504|09:43:43,638|09:43:44,044|09:43:48,963
1201271058719|09:43:43,690|09:43:44,004|09:43:44,338|09:43:44,810|09:43:47,992
1201271058730|09:43:43,830|09:43:44,271|09:43:44,438|09:43:44,849|
1201271058741|09:43:43,971|09:43:44,445|09:43:44,559|09:43:44,950|09:43:48,903
1201271058762|09:43:44,203|09:43:44,740|09:43:44,970|09:43:45,485|09:43:51,519
1201271058773|09:43:44,530|09:43:44,847|09:43:45,177|09:43:45,575|09:43:49,467
1201271058864|09:43:44,629|09:43:45,123|09:43:45,357|09:43:45,647|
1201271058895|09:43:45,251|09:43:46,040|09:43:46,112|09:43:46,559|09:43:50,532
1201271058926|09:43:46,040|09:43:46,351|09:43:46,596|09:43:46,892|09:43:51,266
1201271058947|09:43:46,283|09:43:46,722|09:43:46,981|09:43:47,285|
1201271058968|09:43:46,677|09:43:47,451|09:43:47,555|09:43:47,998|
1201271058999|09:43:47,435|09:43:47,861|09:43:48,253|09:43:48,768|
1201271059010|09:43:47,886|09:43:48,450|09:43:48,654|09:43:49,050|
1201271059021|09:43:48,303|09:43:48,847|09:43:48,966|09:43:49,300|
1201271059042|09:43:48,764|09:43:49,736|09:43:49,798|09:43:50,728|
1201271059073|09:43:49,737|09:43:50,002|09:43:50,127|09:43:50,719|
1201271059094|09:43:49,972|09:43:50,238|09:43:50,421|09:43:51,096|
1201271059105|09:43:50,174|09:43:51,267|09:43:51,292|09:43:51,715|
1201271059136|09:43:50,310|09:43:51,531|09:43:51,569|09:43:52,327|
1201271059157|09:43:50,515|09:43:51,312|09:43:51,474|09:43:52,365|09:44:01,564
1201271059168|09:43:51,491|09:43:52,091|09:43:52,340|09:43:53,348|09:43:58,948
1201271059189|09:43:51,662|09:43:52,393|09:43:52,608|09:43:53,344|09:43:58,844
1201271059210|09:43:52,251|09:43:52,574|09:43:52,681|09:43:54,321|
1201271059231|09:43:52,546|09:43:52,999|09:43:53,110|09:43:54,388|09:44:03,559
1201271059252|09:43:52,814|09:43:53,196|09:43:53,299|09:43:54,622|09:43:59,435
1201271059273|09:43:53,229|09:43:53,449|09:43:53,951|09:43:55,030|
1201271059294|09:43:53,385|09:43:55,339|09:43:55,731|09:43:57,174|09:44:03,256
1201271059315|09:43:55,196|09:43:55,961|09:43:56,471|09:43:57,821|
1201271059336|09:43:55,956|09:43:57,600|09:43:57,911|09:43:58,668|09:44:03,788
1201271059357|09:43:56,781|09:43:58,559|09:43:59,092|09:43:59,999|
1201271059378|09:43:57,891|09:43:59,027|09:43:59,186|09:44:00,034|
1201271059399|09:43:58,751|09:43:59,377|09:43:59,514|09:44:00,383|
1201271059410|09:43:59,532|09:44:00,611|09:44:00,970|09:44:01,625|09:44:05,481
1201271059441|09:44:00,461|09:44:01,119|09:44:01,271|09:44:01,746|09:44:06,940
1201271059472|09:44:01,073|09:44:01,644|09:44:01,767|09:44:02,070|09:44:04,513
1201271059483|09:44:01,434|09:44:02,283|09:44:02,616|09:44:02,957|
1201271059514|09:44:01,916|09:44:02,599|09:44:02,677|09:44:03,323|09:44:07,580
1201271059535|09:44:02,542|09:44:02,917|09:44:02,991|09:44:03,490|09:44:09,680
1201271059556|09:44:02,856|09:44:03,007|09:44:03,302|09:44:03,656|09:44:07,750
1201271059577|09:44:03,184|09:44:03,877|09:44:04,026|09:44:04,500|
1201271059608|09:44:04,091|09:44:04,352|09:44:04,594|09:44:04,979|09:44:09,904
1201271059629|09:44:04,334|09:44:04,861|09:44:05,059|09:44:05,578|09:44:10,539
1201271059640|09:44:04,701|09:44:05,215|09:44:05,438|09:44:05,866|
1201271059651|09:44:05,465|09:44:05,972|09:44:06,183|09:44:06,563|
1201271059672|09:44:05,648|09:44:06,051|09:44:06,355|09:44:06,682|
1201271059683|09:44:06,075|09:44:06,579|09:44:06,849|09:44:07,319|
1201271059704|09:44:06,475|09:44:06,772|09:44:06,935|09:44:07,378|
1201271059725|09:44:06,736|09:44:07,970|09:44:08,304|09:44:09,104|
1201271059736|09:44:07,315|09:44:08,044|09:44:08,180|09:44:08,675|
1201271059767|09:44:07,935|09:44:08,361|09:44:08,513|09:44:09,425|
1201271059788|09:44:08,278|09:44:08,911|09:44:09,524|09:44:09,941|
1201271059809|09:44:08,580|09:44:09,459|09:44:09,505|09:44:09,868|
1201271059820|09:44:08,943|09:44:10,550|09:44:10,766|09:44:11,784|09:44:19,482
1201271059841|09:44:09,568|09:44:10,528|09:44:10,759|09:44:11,319|09:44:15,900
1201271059862|09:44:10,649|09:44:11,064|09:44:11,116|09:44:11,900|09:44:17,905
1201271059883|09:44:10,860|09:44:11,191|09:44:11,312|09:44:11,861|
1201271059904|09:44:11,150|09:44:11,927|09:44:12,354|09:44:13,839|09:44:20,345
1201271059925|09:44:11,387|09:44:12,081|09:44:12,164|09:44:13,817|09:44:18,189
1201271059946|09:44:11,901|09:44:12,760|09:44:12,877|09:44:14,743|
1201271059957|09:44:12,273|09:44:13,120|09:44:13,412|09:44:14,939|09:44:20,621
1201271059978|09:44:12,564|09:44:13,538|09:44:13,838|09:44:15,029|
1201271059989|09:44:13,533|09:44:15,727|09:44:16,083|09:44:16,683|09:44:21,041
1201271060010|09:44:14,987|09:44:15,816|09:44:15,996|09:44:16,553|
1201271060101|09:44:15,832|09:44:16,283|09:44:16,564|09:44:17,246|
1201271060162|09:44:16,248|09:44:16,601|09:44:16,673|09:44:17,454|
1201271060183|09:44:16,464|09:44:18,026|09:44:18,259|09:44:18,901|09:44:22,772
1201271060194|09:44:17,561|09:44:18,081|09:44:18,247|09:44:18,902|09:44:23,265
1201271060215|09:44:18,292|09:44:19,315|09:44:19,627|09:44:20,056|09:44:23,004
1201271060236|09:44:18,610|09:44:19,264|09:44:19,372|09:44:19,833|
1201271060247|09:44:19,556|09:44:20,345|09:44:20,636|09:44:21,190|09:44:26,265
1201271060278|09:44:19,782|09:44:20,720|09:44:20,770|09:44:21,308|09:44:27,239
1201271060299|09:44:20,685|09:44:20,978|09:44:21,143|09:44:21,693|09:44:25,769
1201271060300|09:44:21,191|09:44:21,520|09:44:21,695|09:44:22,295|
1201271060321|09:44:21,600|09:44:21,916|09:44:21,961|09:44:22,483|09:44:27,381
1201271060342|09:44:21,987|09:44:22,313|09:44:22,658|09:44:22,993|09:44:28,330
1201271060363|09:44:22,097|09:44:23,060|09:44:23,530|09:44:24,118|
1201271060384|09:44:22,188|09:44:23,000|09:44:23,063|09:44:23,323|
1201271060395|09:44:22,400|09:44:23,281|09:44:23,411|09:44:24,088|
1201271060406|09:44:23,246|09:44:23,596|09:44:23,680|09:44:24,412|
1201271060427|09:44:23,679|09:44:23,846|09:44:23,952|09:44:24,352|
1201271060448|09:44:23,808|09:44:24,093|09:44:24,146|09:44:24,470|
1201271060459|09:44:24,056|09:44:25,009|09:44:25,277|09:44:25,733|
1201271060470|09:44:25,029|09:44:25,902|09:44:25,953|09:44:26,782|
1201271060481|09:44:25,319|09:44:25,838|09:44:26,012|09:44:26,803|
1201271060502|09:44:25,694|09:44:26,365|09:44:26,669|09:44:26,960|
1201271060533|09:44:26,705|09:44:27,171|09:44:27,240|09:44:28,233|09:44:37,284
1201271060554|09:44:27,037|09:44:27,443|09:44:27,519|09:44:28,318|09:44:34,099
1201271060575|09:44:27,362|09:44:27,586|09:44:27,695|09:44:28,352|09:44:34,796
1201271060586|09:44:27,621|09:44:28,278|09:44:28,559|09:44:29,734|
1201271060607|09:44:27,857|09:44:28,799|09:44:29,230|09:44:30,996|09:44:37,377
1201271060628|09:44:28,202|09:44:28,777|09:44:28,856|09:44:30,922|09:44:35,125
1201271060649|09:44:28,689|09:44:29,638|09:44:29,831|09:44:31,511|
1201271060660|09:44:29,190|09:44:29,715|09:44:30,288|09:44:31,572|09:44:36,832
1201271060671|09:44:30,319|09:44:32,745|09:44:33,231|09:44:33,577|
1201271060692|09:44:31,530|09:44:32,388|09:44:32,633|09:44:33,173|09:44:38,379
1201271060713|09:44:32,713|09:44:33,250|09:44:33,763|09:44:34,519|
1201271060734|09:44:33,802|09:44:34,058|09:44:34,162|09:44:34,725|
1201271060755|09:44:34,203|09:44:35,409|09:44:35,487|09:44:36,559|
1201271060766|09:44:34,904|09:44:35,494|09:44:35,580|09:44:36,569|09:44:40,535
1201271060787|09:44:35,612|09:44:36,568|09:44:36,904|09:44:37,316|09:44:42,187
1201271060808|09:44:35,858|09:44:36,609|09:44:36,830|09:44:37,165|09:44:39,886
1201271060819|09:44:35,984|09:44:37,410|09:44:37,450|09:44:37,867|
1201271060830|09:44:36,527|09:44:37,620|09:44:37,679|09:44:38,050|09:44:42,730
1201271060841|09:44:37,039|09:44:37,598|09:44:37,687|09:44:38,105|09:44:43,970
1201271060862|09:44:37,491|09:44:37,953|09:44:38,429|09:44:38,992|09:44:42,791
1201271060883|09:44:37,706|09:44:38,148|09:44:38,200|09:44:38,736|
1201271060894|09:44:38,147|09:44:38,584|09:44:38,745|09:44:39,255|09:44:44,008
1201271060915|09:44:38,609|09:44:39,009|09:44:39,429|09:44:39,670|09:44:44,540
1201271060936|09:44:39,009|09:44:40,052|09:44:40,456|09:44:41,011|
1201271060957|09:44:39,988|09:44:40,367|09:44:40,540|09:44:41,026|
1201271060968|09:44:40,484|09:44:41,402|09:44:41,578|09:44:41,966|
1201271060989|09:44:40,943|09:44:41,570|09:44:41,648|09:44:41,989|
1201271060990|09:44:41,676|09:44:41,821|09:44:41,965|09:44:42,276|
1201271061011|09:44:41,789|09:44:42,686|09:44:43,015|09:44:43,781|
1201271061032|09:44:41,926|09:44:42,531|09:44:42,748|09:44:43,669|
1201271061043|09:44:42,367|09:44:42,838|09:44:42,899|09:44:43,785|
1201271061084|09:44:42,926|09:44:43,643|09:44:43,800|09:44:44,097|
1201271061095|09:44:43,192|09:44:44,195|09:44:44,364|09:44:45,093|
1201271061136|09:44:43,867|09:44:44,247|09:44:44,337|09:44:45,281|09:44:54,664
1201271061147|09:44:44,378|09:44:44,733|09:44:45,084|09:44:45,405|09:44:52,927
1201271061178|09:44:44,609|09:44:45,251|09:44:45,491|09:44:46,207|09:44:54,708
1201271061199|09:44:44,677|09:44:45,436|09:44:45,519|09:44:46,386|
1201271061210|09:44:44,952|09:44:45,420|09:44:45,532|09:44:46,822|09:45:03,111
1201271061221|09:44:45,646|09:44:46,103|09:44:46,496|09:44:47,778|09:44:53,569
1201271061242|09:44:45,781|09:44:46,300|09:44:47,100|09:44:48,049|
1201271061303|09:44:46,067|09:44:47,076|09:44:48,126|09:44:48,920|09:44:55,536
1201271061374|09:44:46,415|09:44:48,646|09:44:49,123|09:44:50,777|
1201271061395|09:44:48,156|09:44:49,597|09:44:49,804|09:44:50,831|09:44:58,235
1201271061416|09:44:49,560|09:44:50,261|09:44:50,441|09:44:51,009|
1201271061437|09:44:49,854|09:44:50,609|09:44:50,739|09:44:51,369|
1201271061458|09:44:50,438|09:44:50,956|09:44:51,004|09:44:51,833|
1201271061479|09:44:50,544|09:44:52,463|09:44:52,925|09:44:53,511|09:45:05,954
1201271061500|09:44:50,762|09:44:53,038|09:44:53,073|09:44:53,547|09:45:05,893
1201271061531|09:44:51,931|09:44:53,391|09:44:54,052|09:44:54,564|09:45:04,886
1201271061562|09:44:53,014|09:44:53,210|09:44:53,595|09:44:53,892|
1201271061573|09:44:53,313|09:44:54,244|09:44:54,686|09:44:55,259|09:45:20,893
1201271061594|09:44:54,748|09:44:55,005|09:44:55,085|09:44:55,578|09:45:21,831
1201271061615|09:44:54,936|09:44:55,162|09:44:55,368|09:44:55,794|09:45:05,340
1201271061636|09:44:55,844|09:44:58,247|09:45:00,711|09:45:03,611|
1201271061647|09:44:57,700|09:44:59,206|09:45:03,699|09:45:04,706|09:45:24,570
1201271061658|09:44:58,242|09:45:04,956|09:45:04,997|09:45:05,344|09:45:24,258
1201271061679|09:45:02,335|09:45:04,950|09:45:05,059|09:45:05,418|
1201271061690|09:45:04,534|09:45:05,507|09:45:05,576|09:45:05,857|
1201271061701|09:45:05,086|09:45:06,020|09:45:06,081|09:45:11,551|
1201271061722|09:45:05,631|09:45:10,710|09:45:14,875|09:45:20,486|
1201271061743|09:45:06,125|09:45:17,280|09:45:20,710|09:45:21,805|
1201271061764|09:45:10,755|09:45:19,479|09:45:20,503|09:45:21,812|
1201271061785|09:45:20,522|09:45:22,369|09:45:22,773|09:45:23,421|
1201271061796|09:45:22,084|09:45:22,613|09:45:22,801|09:45:23,948|
1201271061817|09:45:22,788|09:45:23,359|09:45:24,024|09:45:24,779|
1201271061838|09:45:22,930|09:45:23,961|09:45:24,115|09:45:24,735|
1201271061849|09:45:23,163|09:45:24,045|09:45:24,365|09:45:26,334|09:45:36,801
1201271061860|09:45:24,140|09:45:24,676|09:45:24,769|09:45:26,449|09:45:30,906
1201271061881|09:45:24,436|09:45:24,728|09:45:24,921|09:45:26,412|09:45:32,249
1201271061902|09:45:26,230|09:45:26,706|09:45:26,948|09:45:28,186|
1201271061923|09:45:26,487|09:45:26,794|09:45:26,901|09:45:28,108|09:45:40,542
1201271061954|09:45:27,010|09:45:27,487|09:45:27,734|09:45:29,056|09:45:32,311
1201271061975|09:45:27,393|09:45:27,903|09:45:28,163|09:45:29,107|
1201271061996|09:45:27,850|09:45:29,542|09:45:29,869|09:45:30,795|09:45:37,318
1201271062007|09:45:28,062|09:45:29,394|09:45:29,608|09:45:30,395|
1201271062028|09:45:29,624|09:45:30,238|09:45:30,833|09:45:31,316|09:45:37,683
1201271062049|09:45:29,949|09:45:30,828|09:45:30,901|09:45:31,619|
1201271062060|09:45:30,370|09:45:31,563|09:45:32,019|09:45:33,486|
1201271062091|09:45:30,975|09:45:32,313|09:45:32,405|09:45:33,716|
1201271062112|09:45:32,114|09:45:32,385|09:45:32,413|09:45:33,385|09:45:40,849
1201271062133|09:45:32,440|09:45:32,694|09:45:32,763|09:45:33,665|09:45:41,875
1201271062144|09:45:32,620|09:45:32,939|09:45:33,098|09:45:34,205|09:45:38,305
1201271062165|09:45:32,831|09:45:34,328|09:45:35,356|09:45:36,042|
1201271062186|09:45:33,034|09:45:35,347|09:45:35,710|09:45:36,342|09:45:42,335
1201271062227|09:45:33,569|09:45:35,073|09:45:35,560|09:45:36,110|09:45:43,414
1201271062258|09:45:35,027|09:45:36,044|09:45:36,618|09:45:37,193|09:45:42,118
1201271062279|09:45:35,871|09:45:36,490|09:45:36,840|09:45:37,331|
1201271062290|09:45:36,439|09:45:37,681|09:45:38,123|09:45:38,619|09:45:44,111
1201271062351|09:45:36,928|09:45:38,182|09:45:38,467|09:45:39,266|09:45:44,872
1201271062402|09:45:37,719|09:45:38,436|09:45:38,621|09:45:39,383|
1201271062423|09:45:38,183|09:45:39,574|09:45:40,700|09:45:41,201|
1201271062454|09:45:38,584|09:45:40,655|09:45:40,731|09:45:41,325|
1201271062465|09:45:40,641|09:45:41,011|09:45:41,685|09:45:41,932|
1201271062486|09:45:41,047|09:45:42,169|09:45:42,233|09:45:42,604|
1201271062507|09:45:41,713|09:45:42,310|09:45:42,594|09:45:42,921|
1201271062548|09:45:42,303|09:45:42,866|09:45:43,218|09:45:43,813|
1201271062589|09:45:42,656|09:45:43,129|09:45:43,246|09:45:43,918|
1201271062600|09:45:43,251|09:45:44,149|09:45:44,279|09:45:44,610|
1201271062611|09:45:44,111|09:45:44,379|09:45:44,484|09:45:44,806|
1201271062632|09:45:44,344|09:45:44,675|09:45:44,964|09:45:45,859|09:45:53,067
1201271062653|09:45:44,463|09:45:44,796|09:45:45,189|09:45:45,895|09:45:49,973
1201271062664|09:45:44,611|09:45:44,994|09:45:45,202|09:45:45,944|09:45:51,302
1201271062685|09:45:44,915|09:45:45,303|09:45:45,581|09:45:45,997|
1201271062696|09:45:45,648|09:45:45,864|09:45:46,089|09:45:46,670|09:45:53,458
1201271062717|09:45:45,835|09:45:46,454|09:45:46,541|09:45:48,335|09:45:51,615
1201271062778|09:45:46,417|09:45:46,751|09:45:47,229|09:45:48,652|
1201271062789|09:45:47,121|09:45:49,022|09:45:49,451|09:45:50,436|09:45:55,080
1201271062800|09:45:48,230|09:45:49,042|09:45:49,385|09:45:50,468|
1201271062821|09:45:48,941|09:45:49,520|09:45:49,909|09:45:50,574|09:45:54,969
1201271062842|09:45:49,477|09:45:50,763|09:45:51,103|09:45:51,927|
1201271062853|09:45:50,764|09:45:51,410|09:45:51,525|09:45:52,100|
1201271062874|09:45:51,682|09:45:52,353|09:45:52,481|09:45:53,383|
1201271062895|09:45:52,007|09:45:53,478|09:45:53,851|09:45:54,297|09:45:59,341
1201271062896|09:45:53,120|09:45:54,023|09:45:54,054|09:45:54,626|09:45:59,179
1201271062917|09:45:53,503|09:45:54,182|09:45:54,298|09:45:54,842|09:45:57,817
1201271062958|09:45:53,983|09:45:54,314|09:45:54,462|09:45:54,880|
1201271062989|09:45:54,210|09:45:54,612|09:45:54,727|09:45:55,142|09:45:59,546
1201271063010|09:45:54,595|09:45:55,207|09:45:55,406|09:45:56,001|09:46:01,442
1201271063031|09:45:54,903|09:45:55,224|09:45:55,385|09:45:55,979|09:46:00,317
1201271063052|09:45:55,426|09:45:55,790|09:45:55,844|09:45:56,425|
1201271063093|09:45:55,817|09:45:55,989|09:45:56,070|09:45:56,509|09:46:00,930
1201271063124|09:45:55,913|09:45:56,002|09:45:56,164|09:45:56,540|09:46:01,552
1201271063145|09:45:56,040|09:45:56,470|09:45:56,816|09:45:57,204|
1201271063176|09:45:56,453|09:45:57,492|09:45:57,933|09:45:58,363|
1201271063207|09:45:56,962|09:45:57,927|09:45:57,947|09:45:58,399|
1201271063238|09:45:57,535|09:45:58,283|09:45:58,615|09:45:58,985|
1201271063259|09:45:58,246|09:45:59,255|09:45:59,470|09:45:59,864|
1201271063280|09:45:58,893|09:45:59,541|09:45:59,790|09:46:00,125|
1201271063301|09:45:59,537|09:46:00,394|09:46:00,612|09:46:01,341|
1201271063402|09:45:59,846|09:46:00,316|09:46:00,409|09:46:01,245|
1201271063443|09:46:00,107|09:46:01,059|09:46:01,432|09:46:01,918|
1201271063474|09:46:00,634|09:46:01,270|09:46:01,590|09:46:02,395|
1201271063495|09:46:00,960|09:46:01,310|09:46:01,552|09:46:02,560|09:46:17,485
1201271063516|09:46:01,759|09:46:02,290|09:46:02,695|09:46:03,172|09:46:09,973
1201271063537|09:46:01,943|09:46:03,187|09:46:03,390|09:46:04,274|09:46:16,797
1201271063558|09:46:02,597|09:46:03,193|09:46:03,287|09:46:04,394|
1201271063569|09:46:03,102|09:46:03,730|09:46:03,970|09:46:06,521|09:46:19,066
1201271063600|09:46:03,266|09:46:03,773|09:46:04,102|09:46:07,248|09:46:15,738
1201271063651|09:46:04,016|09:46:04,412|09:46:05,111|09:46:07,482|
1201271063702|09:46:04,816|09:46:09,179|09:46:09,508|09:46:13,058|09:46:20,239
1201271063723|09:46:06,320|09:46:09,551|09:46:10,036|09:46:13,274|
1201271063734|09:46:08,006|09:46:09,421|09:46:09,766|09:46:13,333|09:46:21,780
1201271063755|09:46:10,334|09:46:12,204|09:46:12,379|09:46:13,842|
1201271063776|09:46:11,487|09:46:12,625|09:46:12,880|09:46:13,805|
1201271063797|09:46:12,763|09:46:15,236|09:46:15,744|09:46:16,812|
1201271063818|09:46:14,206|09:46:15,417|09:46:15,468|09:46:16,264|09:46:25,346
1201271063829|09:46:15,274|09:46:17,328|09:46:17,968|09:46:18,567|09:46:25,274
1201271063840|09:46:16,047|09:46:17,677|09:46:18,187|09:46:18,830|09:46:23,289
1201271063861|09:46:17,713|09:46:18,554|09:46:19,194|09:46:19,955|
1201271063892|09:46:18,234|09:46:18,563|09:46:19,187|09:46:19,883|09:46:27,718
1201271063923|09:46:18,616|09:46:19,696|09:46:19,778|09:46:20,402|09:46:29,935
1201271063954|09:46:19,322|09:46:20,237|09:46:20,847|09:46:21,448|09:46:28,487
1201271063975|09:46:19,810|09:46:21,545|09:46:22,319|09:46:23,022|
1201271064006|09:46:20,450|09:46:21,589|09:46:22,239|09:46:22,813|09:46:29,590
1201271064017|09:46:21,298|09:46:22,559|09:46:22,810|09:46:23,323|09:46:29,736
1201271064038|09:46:22,191|09:46:23,411|09:46:23,665|09:46:24,230|
1201271064059|09:46:23,015|09:46:24,348|09:46:25,378|09:46:25,962|
1201271064060|09:46:23,963|09:46:25,825|09:46:25,985|09:46:26,620|
1201271064081|09:46:24,690|09:46:25,929|09:46:26,300|09:46:27,199|
1201271064112|09:46:25,898|09:46:26,607|09:46:26,854|09:46:27,584|
1201271064123|09:46:26,018|09:46:27,179|09:46:27,581|09:46:28,238|
1201271064134|09:46:26,945|09:46:27,878|09:46:28,314|09:46:28,627|
1201271064155|09:46:27,878|09:46:28,612|09:46:28,775|09:46:29,564|
1201271064166|09:46:28,691|09:46:29,706|09:46:30,069|09:46:30,853|
1201271064187|09:46:29,500|09:46:30,266|09:46:30,389|09:46:31,141|
