Operation|Order.CONN|Order.Validation|PriceService.Out|Order.Execution_|Order.ExecutionReport_CONN
1201270554394|09:37:35,486|09:37:35,595|09:37:35,642|09:37:36,111|
1201270564395|09:37:36,517|09:37:36,564|09:37:36,579|09:37:37,158|
1201270574396|09:37:37,501|09:37:37,595|09:37:37,611|09:37:38,251|
1201270584397|09:37:38,486|09:37:38,533|09:37:38,548|09:37:38,845|09:37:41,251
1201270594398|09:37:39,486|09:37:39,548|09:37:39,579|09:37:40,064|09:37:42,261
1201270604399|09:37:40,486|09:37:40,564|09:37:40,595|09:37:40,970|09:37:42,438
1201270614390|09:37:41,548|09:37:41,732|09:37:41,747|09:37:42,126|
1201270624401|09:37:42,488|09:37:42,586|09:37:42,617|09:37:43,564|09:37:45,722
1201270634422|09:37:43,518|09:37:43,626|09:37:43,642|09:37:43,852|09:37:46,717
1201270644443|09:37:44,511|09:37:44,606|09:37:44,619|09:37:45,166|09:37:46,902
1201270654454|09:37:45,492|09:37:45,575|09:37:45,613|09:37:46,161|
1201270664475|09:37:46,513|09:37:46,706|09:37:46,834|09:37:47,345|09:37:49,642
1201270674496|09:37:47,525|09:37:47,600|09:37:47,614|09:37:48,171|09:37:50,650
1201270684527|09:37:48,499|09:37:48,583|09:37:48,599|09:37:48,972|
1201270694548|09:37:49,589|09:37:49,718|09:37:49,808|09:37:50,158|
1201270704569|09:37:50,613|09:37:50,717|09:37:50,788|09:37:51,022|
1201270714580|09:37:51,504|09:37:51,559|09:37:51,575|09:37:51,777|
1201270724601|09:37:52,506|09:37:52,573|09:37:52,589|09:37:52,834|
1201270734622|09:37:53,508|09:37:53,579|09:37:53,593|09:37:53,934|
1201270744633|09:37:54,510|09:37:54,561|09:37:54,577|09:37:54,812|
1201270754654|09:37:55,526|09:37:55,607|09:37:55,713|09:37:56,316|
1201270764675|09:37:56,514|09:37:56,586|09:37:56,603|09:37:57,175|
1201270774696|09:37:57,518|09:37:57,578|09:37:57,593|09:37:58,280|
1201270784717|09:37:58,531|09:37:58,979|09:37:59,009|09:38:00,237|09:38:05,033
1201270794738|09:37:59,616|09:38:00,330|09:38:00,347|09:38:01,119|09:38:03,299
1201270804759|09:38:00,754|09:38:01,030|09:38:01,128|09:38:01,482|09:38:06,483
1201270814780|09:38:01,617|09:38:02,048|09:38:02,084|09:38:02,620|
1201270824811|09:38:02,612|09:38:02,733|09:38:02,985|09:38:03,419|09:38:09,673
1201270834832|09:38:03,606|09:38:04,609|09:38:04,704|09:38:05,928|09:38:08,945
1201270844853|09:38:04,812|09:38:05,332|09:38:05,577|09:38:06,653|
1201270854894|09:38:05,815|09:38:06,483|09:38:06,587|09:38:07,770|09:38:11,541
1201270864915|09:38:06,641|09:38:07,409|09:38:07,577|09:38:08,267|
1201270874936|09:38:07,750|09:38:08,305|09:38:08,435|09:38:09,452|09:38:12,611
1201270884957|09:38:08,571|09:38:08,684|09:38:09,210|09:38:10,035|
1201270894998|09:38:09,961|09:38:10,390|09:38:10,498|09:38:11,430|
1201270905019|09:38:10,573|09:38:11,223|09:38:11,338|09:38:12,296|
1201271041430|09:38:24,264|09:38:24,412|09:38:24,465|09:38:25,036|09:38:29,133
1201271041451|09:38:24,347|09:38:24,502|09:38:24,556|09:38:25,223|09:38:29,427
1201271041482|09:38:24,538|09:38:24,852|09:38:24,981|09:38:25,416|09:38:28,647
1201271041503|09:38:24,603|09:38:25,047|09:38:25,130|09:38:25,700|
1201271041524|09:38:24,721|09:38:24,950|09:38:25,020|09:38:25,790|09:38:32,097
1201271041545|09:38:24,778|09:38:25,009|09:38:25,060|09:38:25,567|09:38:32,729
1201271041566|09:38:25,093|09:38:25,486|09:38:26,113|09:38:26,733|09:38:29,729
1201271041587|09:38:25,270|09:38:25,867|09:38:26,274|09:38:26,796|
1201271041608|09:38:25,446|09:38:26,234|09:38:26,490|09:38:26,990|09:38:32,688
1201271041629|09:38:26,053|09:38:27,072|09:38:27,593|09:38:28,233|09:38:32,827
1201271041640|09:38:26,206|09:38:27,034|09:38:27,105|09:38:27,642|
1201271041661|09:38:26,630|09:38:27,535|09:38:27,647|09:38:28,214|
1201271041682|09:38:27,607|09:38:28,318|09:38:28,510|09:38:28,973|
1201271041693|09:38:28,131|09:38:28,505|09:38:28,524|09:38:29,026|
1201271041714|09:38:28,256|09:38:28,586|09:38:28,765|09:38:29,462|
1201271041745|09:38:28,619|09:38:29,363|09:38:29,652|09:38:30,161|
1201271041776|09:38:28,738|09:38:29,301|09:38:29,417|09:38:29,891|
1201271041797|09:38:29,217|09:38:29,729|09:38:29,891|09:38:30,605|
1201271041808|09:38:29,954|09:38:31,071|09:38:31,130|09:38:31,685|
1201271041839|09:38:31,026|09:38:31,212|09:38:31,274|09:38:31,899|
1201271041850|09:38:31,227|09:38:31,404|09:38:31,581|09:38:32,494|09:38:41,362
1201271041881|09:38:31,362|09:38:32,588|09:38:32,876|09:38:34,795|09:38:39,614
1201271041902|09:38:31,433|09:38:32,766|09:38:32,983|09:38:34,302|09:38:40,577
1201271041933|09:38:31,610|09:38:32,611|09:38:32,856|09:38:34,418|
1201271041964|09:38:32,524|09:38:32,932|09:38:33,030|09:38:34,654|09:38:42,964
1201271042315|09:38:33,100|09:38:33,340|09:38:33,723|09:38:35,151|09:38:41,398
1201271042356|09:38:33,177|09:38:34,215|09:38:35,160|09:38:35,996|
1201271042377|09:38:33,302|09:38:33,817|09:38:34,320|09:38:35,566|09:38:42,719
1201271042468|09:38:33,540|09:38:35,081|09:38:35,213|09:38:36,012|
1201271042499|09:38:33,950|09:38:36,042|09:38:36,108|09:38:36,407|09:38:44,542
1201271042530|09:38:34,940|09:38:36,938|09:38:36,990|09:38:37,509|
1201271042561|09:38:36,429|09:38:37,301|09:38:37,375|09:38:37,979|
1201271042582|09:38:36,815|09:38:37,391|09:38:37,858|09:38:38,755|
1201271042603|09:38:37,220|09:38:38,298|09:38:39,195|09:38:39,640|09:38:44,826
1201271042624|09:38:37,815|09:38:39,022|09:38:39,323|09:38:39,928|09:38:44,689
1201271042645|09:38:38,778|09:38:39,367|09:38:39,545|09:38:39,989|09:38:45,205
1201271042676|09:38:39,570|09:38:40,402|09:38:40,451|09:38:40,923|
1201271042697|09:38:39,664|09:38:40,395|09:38:40,468|09:38:41,098|09:38:46,814
1201271042718|09:38:40,130|09:38:40,926|09:38:41,237|09:38:41,899|09:38:48,577
1201271042749|09:38:41,047|09:38:42,092|09:38:42,495|09:38:43,735|09:38:46,618
1201271042760|09:38:42,533|09:38:44,065|09:38:44,361|09:38:44,830|
1201271042791|09:38:43,474|09:38:44,282|09:38:44,448|09:38:44,883|09:38:48,711
1201271042842|09:38:44,001|09:38:44,440|09:38:44,687|09:38:45,139|09:38:48,848
1201271042873|09:38:44,313|09:38:44,836|09:38:45,026|09:38:45,264|
1201271042914|09:38:44,796|09:38:45,390|09:38:45,533|09:38:45,969|
1201271042945|09:38:45,551|09:38:45,807|09:38:45,973|09:38:46,467|
1201271042976|09:38:45,741|09:38:45,969|09:38:46,107|09:38:46,480|
1201271042987|09:38:45,998|09:38:46,745|09:38:46,858|09:38:47,244|
1201271043018|09:38:46,727|09:38:47,468|09:38:47,498|09:38:47,771|
1201271043039|09:38:46,913|09:38:47,765|09:38:48,069|09:38:48,675|
1201271043050|09:38:47,213|09:38:47,640|09:38:47,804|09:38:48,559|
1201271043071|09:38:47,659|09:38:48,512|09:38:48,789|09:38:49,263|
1201271043092|09:38:48,016|09:38:48,683|09:38:48,841|09:38:49,477|
1201271043113|09:38:48,164|09:38:48,861|09:38:48,966|09:38:49,898|09:38:58,007
1201271043134|09:38:48,965|09:38:49,084|09:38:49,280|09:38:49,959|09:38:54,525
1201271043145|09:38:49,058|09:38:49,899|09:38:50,126|09:38:51,116|09:38:55,712
1201271043166|09:38:49,234|09:38:49,848|09:38:49,993|09:38:51,167|
1201271043187|09:38:49,868|09:38:50,362|09:38:50,454|09:38:52,020|09:38:59,143
1201271043208|09:38:49,950|09:38:50,289|09:38:50,502|09:38:52,240|09:38:55,722
1201271043229|09:38:50,304|09:38:50,777|09:38:51,027|09:38:52,482|
1201271043240|09:38:50,689|09:38:52,463|09:38:52,960|09:38:54,011|09:38:59,724
1201271043261|09:38:50,932|09:38:52,687|09:38:52,734|09:38:53,324|
1201271043282|09:38:51,711|09:38:52,826|09:38:53,009|09:38:54,076|09:38:58,498
1201271043303|09:38:53,150|09:38:54,118|09:38:54,572|09:38:55,491|
1201271043374|09:38:53,343|09:38:54,303|09:38:54,452|09:38:55,349|
1201271043395|09:38:53,479|09:38:54,122|09:38:54,539|09:38:55,474|
1201271043426|09:38:54,182|09:38:55,620|09:38:55,967|09:38:56,456|09:39:01,496
1201271043457|09:38:54,843|09:38:55,960|09:38:55,978|09:38:56,517|09:39:01,203
1201271043478|09:38:56,001|09:38:56,536|09:38:56,922|09:38:57,457|09:39:00,371
1201271043519|09:38:56,227|09:38:57,269|09:38:57,550|09:38:58,096|
1201271043530|09:38:56,622|09:38:57,221|09:38:57,320|09:38:57,951|09:39:03,427
1201271043551|09:38:57,023|09:38:57,347|09:38:57,463|09:38:58,094|09:39:05,039
1201271043572|09:38:57,483|09:38:58,445|09:38:58,641|09:38:59,211|09:39:05,204
1201271043593|09:38:57,912|09:38:58,590|09:38:58,671|09:38:59,263|
1201271043614|09:38:58,616|09:38:58,880|09:38:58,989|09:38:59,494|09:39:03,438
1201271043625|09:38:59,044|09:38:59,803|09:39:00,095|09:39:00,754|09:39:05,199
1201271043646|09:38:59,345|09:39:00,016|09:39:00,106|09:39:00,758|
1201271043677|09:39:00,139|09:39:00,411|09:39:00,501|09:39:00,907|
1201271043708|09:39:00,298|09:39:00,419|09:39:00,600|09:39:00,975|
1201271043729|09:39:00,464|09:39:00,871|09:39:01,204|09:39:01,523|
1201271043740|09:39:00,859|09:39:01,351|09:39:01,598|09:39:02,178|
1201271043761|09:39:01,301|09:39:01,816|09:39:01,905|09:39:02,463|
1201271043792|09:39:01,816|09:39:02,177|09:39:02,441|09:39:03,133|
1201271043813|09:39:01,984|09:39:02,182|09:39:02,276|09:39:03,123|
1201271043844|09:39:02,107|09:39:03,308|09:39:03,615|09:39:04,010|
1201271043865|09:39:02,708|09:39:03,575|09:39:03,671|09:39:04,720|
1201271043896|09:39:03,707|09:39:03,911|09:39:04,016|09:39:04,991|09:39:14,043
1201271043927|09:39:03,814|09:39:04,055|09:39:04,318|09:39:05,042|09:39:11,005
1201271043958|09:39:03,975|09:39:04,629|09:39:04,932|09:39:05,211|09:39:09,317
1201271043979|09:39:04,539|09:39:05,348|09:39:05,569|09:39:06,710|
1201271044000|09:39:05,124|09:39:05,732|09:39:05,777|09:39:07,226|09:39:15,024
1201271044021|09:39:05,621|09:39:05,974|09:39:06,342|09:39:08,230|09:39:12,021
1201271044052|09:39:05,716|09:39:06,119|09:39:06,698|09:39:08,293|
1201271044083|09:39:05,916|09:39:06,417|09:39:06,888|09:39:08,417|09:39:13,372
1201271044114|09:39:06,158|09:39:06,976|09:39:08,466|09:39:09,205|
1201271044145|09:39:06,824|09:39:08,498|09:39:08,812|09:39:09,306|09:39:14,927
1201271044176|09:39:08,854|09:39:09,314|09:39:09,514|09:39:10,673|
1201271044197|09:39:09,084|09:39:09,492|09:39:09,843|09:39:11,014|
1201271044218|09:39:09,281|09:39:09,639|09:39:09,887|09:39:10,985|
1201271044239|09:39:09,640|09:39:10,062|09:39:10,327|09:39:11,043|09:39:15,897
1201271044260|09:39:10,325|09:39:11,656|09:39:12,067|09:39:12,704|09:39:19,620
1201271044301|09:39:11,158|09:39:11,709|09:39:12,041|09:39:12,588|09:39:16,236
1201271044322|09:39:11,672|09:39:12,350|09:39:12,699|09:39:13,033|
1201271044343|09:39:12,138|09:39:12,693|09:39:13,076|09:39:13,584|09:39:19,556
1201271044364|09:39:12,396|09:39:12,973|09:39:13,173|09:39:13,677|09:39:20,479
1201271044385|09:39:12,747|09:39:13,188|09:39:13,406|09:39:13,838|09:39:18,969
1201271044416|09:39:13,410|09:39:13,982|09:39:14,042|09:39:15,057|
1201271044537|09:39:14,096|09:39:14,358|09:39:14,378|09:39:15,121|09:39:23,500
1201271044568|09:39:14,331|09:39:14,445|09:39:14,535|09:39:15,466|09:39:21,154
1201271044589|09:39:14,414|09:39:14,667|09:39:14,713|09:39:15,456|
1201271044600|09:39:14,628|09:39:15,125|09:39:15,458|09:39:15,919|
1201271044611|09:39:14,841|09:39:15,587|09:39:16,067|09:39:16,888|
1201271044642|09:39:15,408|09:39:16,135|09:39:16,252|09:39:16,971|
1201271044673|09:39:16,170|09:39:16,315|09:39:16,359|09:39:16,973|
1201271044694|09:39:16,310|09:39:16,400|09:39:16,533|09:39:17,175|
1201271044715|09:39:16,439|09:39:16,915|09:39:17,445|09:39:18,371|
1201271044736|09:39:16,615|09:39:17,732|09:39:17,823|09:39:18,840|
1201271044747|09:39:17,102|09:39:17,746|09:39:17,799|09:39:18,666|
